Date,Temperature,NOx
22/03/2005,20.2,473.0
11/07/2004,29.5,32.0
29/05/2004,22.9,61.0
28/11/2004,11.2,60.0
02/06/2004,21.7,62.0
05/03/2005,11.6,251.0
18/03/2005,8.9,168.0
05/05/2004,17.5,126.0
31/03/2004,11.5,144.0
24/09/2004,24.9,282.0
19/03/2005,12.2,106.0
11/11/2004,11.6,573.0
11/03/2004,10.1,21.0
03/03/2005,7.3,389.0
13/08/2004,36.3,55.0
08/10/2004,19.5,592.0
23/03/2005,23.3,361.0
22/03/2004,15.6,232.0
08/12/2004,13.8,348.0
11/04/2004,8.7,61.0
30/05/2004,25.5,58.0
09/03/2005,10.5,691.0
10/05/2004,16.8,128.0
08/08/2004,23.9,22.0
16/03/2005,7.6,178.0
