participant_id,minutes_spent_sleeping,sex
20180101180006,480,Male
20180101180021,450,Male
20180101180025,845,Male
20180101180054,615,Male
20180101180108,540,Male
20180101180146,500,Male
20180101180507,525,Male
20180101180521,889,Male
20180101180524,500,Male
20180101180532,595,Male
20180101180542,375,Male
20180101180553,405,Male
20180101180555,580,Male
20180101180595,685,Male
20180101180652,465,Male
20180101180666,570,Male
20180101180691,525,Male
20180101180723,960,Male
20180101180726,540,Male
20180101180730,528,Male
20180101180735,460,Male
20180101180744,560,Male
20180101180759,1085,Male
20180101180788,490,Male
20180101180830,495,Male
20180101180869,580,Male
20180101180872,480,Male
20180101180897,450,Male
20180101180912,420,Male
20180101180916,570,Male
20180101180956,540,Male
20180101180999,640,Male
20180101181081,580,Male
20180101181092,660,Male
20180101181121,450,Male
20180101181125,780,Male
20180101181130,450,Male
20180101181156,630,Male
20180101181166,570,Male
20180101181180,546,Male
20180101181198,565,Male
20180101181203,600,Male
20180101181223,630,Male
20180101181260,450,Male
20180101181306,480,Male
20180101181326,885,Male
20180101181365,580,Male
20180101181371,600,Male
20180101181394,630,Male
20180101181414,870,Male
20180101181443,480,Male
20180101181465,600,Male
20180101181474,540,Male
20180101181502,604,Male
20180101181513,570,Male
20180101181536,570,Male
20180101181549,400,Male
20180101181655,420,Male
20180101181678,540,Male
20180101181683,420,Male
20180101181732,600,Male
20180101181738,660,Male
20180101181771,645,Male
20180101181792,510,Male
20180101181809,508,Male
20180101181866,720,Male
20180101181872,90,Male
20180101181930,545,Male
20180101181935,485,Male
20180101181937,480,Male
20180101181968,470,Male
20180101181994,360,Male
20180101182010,900,Male
20180101182091,520,Male
20180101182105,435,Male
20180101182140,465,Male
20180101182165,520,Male
20180101182183,495,Male
20180101182198,285,Male
20180101182240,360,Male
20180101182255,540,Male
20180101182320,435,Male
20180101182327,720,Male
20180101182331,685,Male
20180101182436,300,Male
20180101182439,540,Male
20180101182440,470,Male
20180101182449,420,Male
20180101182464,650,Male
20180101182475,624,Male
20180101182493,480,Male
20180110171942,660,Male
20180111170111,360,Male
20180111170120,360,Male
20180111170122,595,Male
20180111170135,570,Male
20180111170502,900,Male
20180111170533,297,Male
20180111170615,630,Male
20180111170673,500,Male
20180111170706,660,Male
20180111170708,580,Male
20180111170710,690,Male
20180111170721,800,Male
20180111170863,450,Male
20180111170887,390,Male
20180111170904,750,Male
20180111170937,440,Male
20180111170951,525,Male
20180111170987,490,Male
20180111170992,420,Male
20180111171009,590,Male
20180111171011,646,Male
20180111171047,690,Male
20180111171070,360,Male
20180111171083,520,Male
20180111171172,420,Male
20180111171206,520,Male
20180111171213,505,Male
20180111171238,500,Male
20180111171288,465,Male
20180111171296,420,Male
20180111171340,720,Male
20180111171351,355,Male
20180111171364,654,Male
20180111171387,505,Male
20180111171398,510,Male
20180111171419,360,Male
20180111171444,718,Male
20180111171445,345,Male
20180111171468,715,Male
20180111171470,595,Male
20180111171481,439,Male
20180111171489,475,Male
20180111171499,550,Male
20180111171505,690,Male
20180111171539,430,Male
20180111171570,480,Male
20180111171676,535,Male
20180111171699,625,Male
20180111171729,746,Male
20180111171740,510,Male
20180111171752,690,Male
20180111171761,700,Male
20180111171766,725,Male
20180111171813,500,Male
20180111171834,737,Male
20180111171869,415,Male
20180111171910,410,Male
20180111171972,740,Male
20180111172007,480,Male
20180111172046,720,Male
20180111172090,480,Male
20180111172096,540,Male
20180111172100,390,Male
20180111172126,538,Male
20180111172134,660,Male
20180111172138,420,Male
20180111172153,550,Male
20180111172218,605,Male
20180111172231,600,Male
20180111172260,630,Male
20180111172287,420,Male
20180111172333,450,Male
20180111172346,475,Male
20180111172355,760,Male
20180111172386,595,Male
20180111172401,420,Male
20180111172428,516,Male
20180111172434,682,Male
20180111172444,450,Male
20180111172478,540,Male
20180111172494,540,Male
20180111172528,570,Male
20180111172537,525,Male
20180111172538,575,Male
20180111172539,625,Male
20180112170019,356,Male
20180112170042,530,Male
20180112170043,570,Male
20180112170069,600,Male
20180112170081,210,Male
20180112170087,870,Male
20180112170098,903,Male
20180112170100,495,Male
20180112170101,560,Male
20180112170116,540,Male
20180112170118,420,Male
20180112170144,493,Male
20180112170156,420,Male
20180112170517,660,Male
20180112170520,450,Male
20180112170523,435,Male
20180112170550,675,Male
20180112170551,680,Male
20180112170558,589,Male
20180112170565,743,Male
20180112170568,420,Male
20180112170572,690,Male
20180112170575,510,Male
20180112170580,555,Male
20180112170586,585,Male
20180112170588,390,Male
20180112170598,300,Male
20180112170601,720,Male
20180112170604,530,Male
20180112170606,490,Male
20180112170609,290,Male
20180112170610,780,Male
20180112170627,420,Male
20180112170630,470,Male
20180112170633,565,Male
20180112170635,630,Male
20180112170643,613,Male
20180112170651,365,Male
20180112170658,568,Male
20180112170664,360,Male
20180112170674,950,Male
20180112170681,605,Male
20180112170685,390,Male
20180112170687,657,Male
20180112170689,655,Male
20180112170692,472,Male
20180112170705,445,Male
20180112170711,630,Male
20180112170719,690,Male
20180112170721,420,Male
20180112170723,360,Male
20180112170751,670,Male
20180112170766,600,Male
20180112170769,610,Male
20180112170776,390,Male
20180112170777,540,Male
20180112170779,522,Male
20180112170781,660,Male
20180112170794,600,Male
20180112170809,496,Male
20180112170823,480,Male
20180112170859,420,Male
20180112170867,600,Male
20180112170870,540,Male
20180112170881,450,Male
20180112170890,615,Male
20180112170891,510,Male
20180112170893,385,Male
20180112170903,480,Male
20180112170915,500,Male
20180112170925,845,Male
20180112170948,530,Male
20180112170957,570,Male
20180112170969,870,Male
20180112170970,480,Male
20180112170972,490,Male
20180112170979,1030,Male
20180112170983,420,Male
20180112170988,480,Male
20180112170994,660,Male
20180112171052,510,Male
20180112171055,390,Male
20180112171061,450,Male
20180112171068,540,Male
20180112171078,600,Male
20180112171082,420,Male
20180112171095,570,Male
20180112171114,640,Male
20180112171118,483,Male
20180112171137,480,Male
20180112171143,540,Male
20180112171150,466,Male
20180112171170,645,Male
20180112171173,630,Male
20180112171181,660,Male
20180112171200,540,Male
20180112171205,430,Male
20180112171206,420,Male
20180112171213,546,Male
20180112171215,1335,Male
20180112171223,330,Male
20180112171224,390,Male
20180112171227,750,Male
20180112171228,540,Male
