date,day_of_week,rained_today,rained_yesterday
2022-01-01,Saturday,True,True
2022-01-02,Sunday,True,True
2022-01-03,Monday,True,True
2022-01-04,Tuesday,False,True
2022-01-05,Wednesday,False,False
2022-01-06,Thursday,True,False
2022-01-07,Friday,False,True
2022-01-08,Saturday,False,False
2022-01-09,Sunday,True,False
2022-01-10,Monday,False,True
2022-01-11,Tuesday,False,False
2022-01-12,Wednesday,False,False
2022-01-13,Thursday,False,False
2022-01-14,Friday,False,False
2022-01-15,Saturday,True,False
2022-01-16,Sunday,True,True
2022-01-17,Monday,False,True
2022-01-18,Tuesday,False,False
2022-01-19,Wednesday,True,False
2022-01-20,Thursday,True,True
2022-01-21,Friday,False,True
2022-01-22,Saturday,False,False
2022-01-23,Sunday,False,False
2022-01-24,Monday,False,False
2022-01-25,Tuesday,False,False
2022-01-26,Wednesday,False,False
2022-01-27,Thursday,False,False
2022-01-28,Friday,False,False
2022-01-29,Saturday,False,False
2022-01-30,Sunday,False,False
2022-01-31,Monday,False,False
2022-02-01,Tuesday,False,False
2022-02-02,Wednesday,True,False
2022-02-03,Thursday,True,True
2022-02-04,Friday,True,True
2022-02-05,Saturday,False,True
2022-02-06,Sunday,False,False
2022-02-07,Monday,False,False
2022-02-08,Tuesday,False,False
2022-02-09,Wednesday,False,False
2022-02-10,Thursday,False,False
2022-02-11,Friday,False,False
2022-02-12,Saturday,False,False
2022-02-13,Sunday,False,False
2022-02-14,Monday,False,False
2022-02-15,Tuesday,False,False
2022-02-16,Wednesday,False,False
2022-02-17,Thursday,True,False
2022-02-18,Friday,False,True
2022-02-19,Saturday,False,False
2022-02-20,Sunday,False,False
2022-02-21,Monday,True,False
2022-02-22,Tuesday,True,True
2022-02-23,Wednesday,True,True
2022-02-24,Thursday,True,True
2022-02-25,Friday,True,True
2022-02-26,Saturday,False,True
2022-02-27,Sunday,True,False
2022-02-28,Monday,False,True
2022-03-01,Tuesday,False,False
2022-03-02,Wednesday,False,False
2022-03-03,Thursday,False,False
2022-03-04,Friday,False,False
2022-03-05,Saturday,False,False
2022-03-06,Sunday,False,False
2022-03-07,Monday,True,False
2022-03-08,Tuesday,True,True
2022-03-09,Wednesday,True,True
2022-03-10,Thursday,False,True
2022-03-11,Friday,True,False
2022-03-12,Saturday,True,True
2022-03-13,Sunday,False,True
2022-03-14,Monday,False,False
2022-03-15,Tuesday,False,False
2022-03-16,Wednesday,True,False
2022-03-17,Thursday,False,True
2022-03-18,Friday,True,False
2022-03-19,Saturday,False,True
2022-03-20,Sunday,False,False
2022-03-21,Monday,False,False
2022-03-22,Tuesday,True,False
2022-03-23,Wednesday,True,True
2022-03-24,Thursday,False,True
2022-03-25,Friday,False,False
2022-03-26,Saturday,False,False
2022-03-27,Sunday,False,False
2022-03-28,Monday,False,False
2022-03-29,Tuesday,False,False
2022-03-30,Wednesday,True,False
2022-03-31,Thursday,True,True
2022-04-01,Friday,False,True
2022-04-02,Saturday,False,False
2022-04-03,Sunday,False,False
2022-04-04,Monday,False,False
2022-04-05,Tuesday,True,False
2022-04-06,Wednesday,True,True
2022-04-07,Thursday,False,True
2022-04-08,Friday,True,False
2022-04-09,Saturday,False,True
2022-04-10,Sunday,False,False
2022-04-11,Monday,True,False
2022-04-12,Tuesday,True,True
2022-04-13,Wednesday,True,True
2022-04-14,Thursday,True,True
2022-04-15,Friday,True,True
2022-04-16,Saturday,True,True
2022-04-17,Sunday,False,True
2022-04-18,Monday,True,False
2022-04-19,Tuesday,False,True
2022-04-20,Wednesday,False,False
2022-04-21,Thursday,True,False
2022-04-22,Friday,False,True
2022-04-23,Saturday,False,False
2022-04-24,Sunday,False,False
2022-04-25,Monday,True,False
2022-04-26,Tuesday,False,True
2022-04-27,Wednesday,False,False
2022-04-28,Thursday,False,False
2022-04-29,Friday,False,False
2022-04-30,Saturday,False,False
2022-05-01,Sunday,True,False
2022-05-02,Monday,False,True
2022-05-03,Tuesday,False,False
2022-05-04,Wednesday,False,False
2022-05-05,Thursday,True,False
2022-05-06,Friday,True,True
2022-05-07,Saturday,True,True
2022-05-08,Sunday,False,True
2022-05-09,Monday,False,False
2022-05-10,Tuesday,False,False
2022-05-11,Wednesday,False,False
2022-05-12,Thursday,False,False
2022-05-13,Friday,False,False
2022-05-14,Saturday,False,False
2022-05-15,Sunday,True,False
2022-05-16,Monday,False,True
2022-05-17,Tuesday,False,False
2022-05-18,Wednesday,False,False
2022-05-19,Thursday,False,False
2022-05-20,Friday,False,False
2022-05-21,Saturday,True,False
2022-05-22,Sunday,True,True
2022-05-23,Monday,True,True
2022-05-24,Tuesday,True,True
2022-05-25,Wednesday,True,True
2022-05-26,Thursday,True,True
2022-05-27,Friday,False,True
2022-05-28,Saturday,False,False
2022-05-29,Sunday,False,False
2022-05-30,Monday,False,False
2022-05-31,Tuesday,False,False
2022-06-01,Wednesday,False,False
2022-06-02,Thursday,False,False
2022-06-03,Friday,False,False
2022-06-04,Saturday,False,False
2022-06-05,Sunday,False,False
2022-06-06,Monday,True,False
2022-06-07,Tuesday,True,True
2022-06-08,Wednesday,True,True
2022-06-09,Thursday,False,True
2022-06-10,Friday,False,False
2022-06-11,Saturday,False,False
2022-06-12,Sunday,False,False
2022-06-13,Monday,False,False
2022-06-14,Tuesday,False,False
2022-06-15,Wednesday,False,False
2022-06-16,Thursday,False,False
2022-06-17,Friday,True,False
2022-06-18,Saturday,False,True
2022-06-19,Sunday,False,False
2022-06-20,Monday,False,False
2022-06-21,Tuesday,False,False
2022-06-22,Wednesday,False,False
2022-06-23,Thursday,False,False
2022-06-24,Friday,False,False
2022-06-25,Saturday,False,False
2022-06-26,Sunday,False,False
2022-06-27,Monday,False,False
2022-06-28,Tuesday,False,False
2022-06-29,Wednesday,False,False
2022-06-30,Thursday,True,False
2022-07-01,Friday,False,True
2022-07-02,Saturday,True,False
2022-07-03,Sunday,True,True
2022-07-04,Monday,True,True
2022-07-05,Tuesday,False,True
2022-07-06,Wednesday,False,False
2022-07-07,Thursday,True,False
2022-07-08,Friday,True,True
2022-07-09,Saturday,True,True
2022-07-10,Sunday,False,True
2022-07-11,Monday,False,False
2022-07-12,Tuesday,False,False
2022-07-13,Wednesday,False,False
2022-07-14,Thursday,False,False
2022-07-15,Friday,False,False
2022-07-16,Saturday,False,False
2022-07-17,Sunday,False,False
2022-07-18,Monday,True,False
2022-07-19,Tuesday,False,True
2022-07-20,Wednesday,False,False
2022-07-21,Thursday,True,False
2022-07-22,Friday,False,True
2022-07-23,Saturday,False,False
2022-07-24,Sunday,False,False
2022-07-25,Monday,True,False
2022-07-26,Tuesday,True,True
2022-07-27,Wednesday,False,True
2022-07-28,Thursday,True,False
2022-07-29,Friday,True,True
2022-07-30,Saturday,False,True
2022-07-31,Sunday,False,False
2022-08-01,Monday,False,False
2022-08-02,Tuesday,False,False
2022-08-03,Wednesday,False,False
2022-08-04,Thursday,False,False
2022-08-05,Friday,True,False
2022-08-06,Saturday,True,True
2022-08-07,Sunday,True,True
2022-08-08,Monday,False,True
2022-08-09,Tuesday,True,False
2022-08-10,Wednesday,True,True
2022-08-11,Thursday,False,True
2022-08-12,Friday,False,False
2022-08-13,Saturday,False,False
2022-08-14,Sunday,False,False
2022-08-15,Monday,False,False
2022-08-16,Tuesday,True,False
2022-08-17,Wednesday,False,True
2022-08-18,Thursday,False,False
2022-08-19,Friday,True,False
