hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,0,46,2016,June,25,17,0,2,2,0.0,0,BB,PRT,Complementary,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,0.0,0,0,Check-Out,2016-06-19
City Hotel,1,11,2016,December,49,2,2,2,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,76.29,0,0,Canceled,2016-11-24
City Hotel,0,162,2017,July,27,5,0,4,3,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,152.1,0,0,Check-Out,2017-07-09
City Hotel,1,17,2016,March,11,11,0,2,2,0.0,0,SC,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,97.0,0,1,Canceled,2016-03-07
City Hotel,0,257,2017,June,23,8,0,3,1,1.0,0,SC,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,72.42,0,1,Check-Out,2017-06-11
City Hotel,1,1,2015,August,32,4,0,2,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,40.0,0,Group,65.0,0,0,Canceled,2015-08-03
City Hotel,0,34,2016,December,51,17,1,1,1,0.0,0,SC,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,86.0,,0,Transient,56.16,0,0,Check-Out,2016-12-19
City Hotel,1,69,2016,June,25,12,2,4,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,236.0,,0,Transient,120.0,0,0,Canceled,2016-05-04
City Hotel,0,221,2015,October,42,17,2,1,3,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,1,No Deposit,3.0,,0,Transient-Party,90.0,0,0,Check-Out,2015-10-20
City Hotel,0,11,2015,September,38,13,2,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,11.0,,0,Transient,94.6,0,0,Check-Out,2015-09-17
City Hotel,1,420,2016,September,36,3,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,35.0,,0,Transient,75.0,0,0,Canceled,2015-10-12
City Hotel,0,9,2017,May,20,19,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,160.0,0,2,Check-Out,2017-05-20
City Hotel,1,21,2016,November,47,18,0,2,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,174.0,0,1,Canceled,2016-10-31
City Hotel,1,18,2016,November,47,17,1,3,1,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,48.5,0,0,Canceled,2016-10-31
City Hotel,0,112,2016,November,47,13,2,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,100.05,0,1,Check-Out,2016-11-18
City Hotel,0,30,2016,May,21,15,2,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,97.71,0,1,Check-Out,2016-05-20
City Hotel,0,117,2017,April,15,13,1,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,144.0,0,2,Check-Out,2017-04-17
City Hotel,1,12,2016,September,37,5,1,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,154.0,0,0,Canceled,2016-08-25
City Hotel,0,12,2016,October,42,10,1,0,2,0.0,0,BB,ESP,Groups,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,130.0,0,0,Check-Out,2016-10-11
City Hotel,1,393,2016,March,12,19,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,70.53,0,0,Canceled,2016-03-14
City Hotel,1,14,2017,May,21,24,0,1,1,0.0,0,BB,PRT,Complementary,Direct,1,1,3,A,A,0,No Deposit,,45.0,0,Transient,0.0,0,1,Canceled,2017-05-22
City Hotel,0,37,2015,October,43,22,0,3,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,96.3,0,1,Check-Out,2015-10-25
City Hotel,1,356,2015,October,41,8,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Contract,62.0,0,0,Canceled,2015-01-01
City Hotel,0,58,2016,September,40,28,0,3,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,152.7,0,1,Check-Out,2016-10-01
City Hotel,0,68,2015,September,37,12,2,5,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,96.17,0,2,Check-Out,2015-09-19
City Hotel,0,39,2017,March,10,6,1,2,2,0.0,0,HB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,148.0,0,3,Check-Out,2017-03-09
City Hotel,1,358,2015,October,41,10,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015-07-23
City Hotel,0,0,2015,August,35,28,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,106.0,0,1,Check-Out,2015-08-30
City Hotel,0,233,2015,November,45,7,1,1,2,0.0,0,BB,FRA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,60.0,0,0,Check-Out,2015-11-09
City Hotel,1,134,2016,November,46,12,2,1,2,0.0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,79.2,0,0,Canceled,2016-07-02
City Hotel,1,163,2016,October,43,20,0,3,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,Non Refund,,,0,Transient,100.0,0,0,Canceled,2016-05-10
City Hotel,0,68,2015,December,53,31,0,3,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,104.0,,0,Transient-Party,71.33,0,1,Check-Out,2016-01-03
City Hotel,0,55,2015,September,37,6,2,0,2,0.0,0,BB,FRA,Groups,TA/TO,0,0,0,A,D,0,No Deposit,1.0,,0,Transient-Party,75.0,0,0,Check-Out,2015-09-08
City Hotel,0,29,2016,October,41,5,0,2,3,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,201.25,0,3,Check-Out,2016-10-07
City Hotel,0,0,2015,November,46,14,0,1,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,3,No Deposit,9.0,,0,Contract,85.0,0,2,Check-Out,2015-11-15
City Hotel,0,1,2016,November,47,15,0,2,1,0.0,0,BB,FRA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient,75.0,0,1,Check-Out,2016-11-17
City Hotel,1,396,2017,June,26,25,2,0,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,B,1,No Deposit,6.0,,0,Transient-Party,80.0,0,0,Canceled,2017-05-24
City Hotel,1,181,2017,May,21,25,0,2,2,0.0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,,,0,Transient,130.0,0,0,Canceled,2016-11-25
City Hotel,0,208,2017,May,21,24,0,2,2,0.0,0,HB,DEU,Groups,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,114.4,0,0,Check-Out,2017-05-26
City Hotel,1,41,2016,September,38,14,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,86.0,,0,Transient-Party,130.0,0,0,Canceled,2016-08-10
City Hotel,0,12,2016,August,34,16,0,2,1,2.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,150.5,1,1,Check-Out,2016-08-18
City Hotel,1,245,2016,June,25,17,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,12.0,,0,Transient,75.0,0,0,Canceled,2016-02-09
City Hotel,0,468,2017,July,30,29,2,1,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,229.0,,0,Transient-Party,112.67,0,1,Check-Out,2017-08-01
City Hotel,1,129,2017,June,25,24,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,30.0,,0,Transient,130.0,0,0,Canceled,2017-02-15
City Hotel,0,276,2016,September,39,22,0,3,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,178,Transient-Party,116.33,0,0,Check-Out,2016-09-25
City Hotel,0,1,2016,January,2,7,0,1,1,0.0,0,BB,ARE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,82.0,0,0,Check-Out,2016-01-08
City Hotel,0,3,2017,May,19,13,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,3,A,D,0,No Deposit,,40.0,0,Transient,67.0,1,2,Check-Out,2017-05-14
City Hotel,1,133,2017,January,1,3,0,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,93.6,0,1,Canceled,2016-10-03
City Hotel,1,286,2016,October,44,28,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,65.0,0,0,Canceled,2016-09-20
City Hotel,0,13,2016,January,4,20,1,4,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,80.3,0,1,Check-Out,2016-01-25
City Hotel,0,0,2017,August,33,13,1,0,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,K,1,No Deposit,152.0,,0,Transient,98.4,0,0,Check-Out,2017-08-14
City Hotel,1,0,2017,May,20,17,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,F,F,0,No Deposit,,,0,Transient,265.0,0,0,Canceled,2017-05-17
