Day,Accident Number
2018-01-05,104
2018-01-12,154
2018-01-19,127
2018-01-26,121
2018-02-02,100
2018-02-09,134
2018-02-16,99
2018-02-23,120
2018-03-02,136
2018-03-09,121
2018-03-16,113
2018-03-23,95
2018-03-30,83
2018-04-06,108
2018-04-13,120
2018-04-20,132
2018-04-27,127
2018-05-04,108
2018-05-11,98
2018-05-18,118
2018-05-25,101
2018-06-01,106
2018-06-08,105
2018-06-15,117
2018-06-22,89
2018-06-29,117
2018-07-06,103
2018-07-13,85
2018-07-20,107
2018-07-27,128
2018-08-03,115
2018-08-10,132
2018-08-17,129
2018-08-24,117
2018-08-31,108
2018-09-07,113
2018-09-14,123
2018-09-21,128
2018-09-28,107
2018-10-05,101
2018-10-12,119
2018-10-19,115
2018-10-26,172
2018-11-02,117
2018-11-09,120
2018-11-16,153
2018-11-23,44
2018-11-30,147
2018-12-07,116
2018-12-14,136
2018-12-21,144
2018-12-28,106
