last_name,first_name,team,position,height_inches,weight_lbs,pts_per_game,rebounds_per_game,assists_per_game,salary
Achiuwa,Precious,Toronto Raptors,F,80,225.0,9.2,6.0,0.9,2840160
Adams,Steven,Memphis Grizzlies,C,83,265.0,8.6,11.5,2.3,17926829
Adebayo,Bam,Miami Heat,C-F,81,255.0,20.4,9.2,3.2,30351780
Agbaji,Ochai,Utah Jazz,G,77,215.0,7.9,2.1,1.1,3918360
Aldama,Santi,Memphis Grizzlies,F-C,84,215.0,9.0,4.8,1.3,2094240
Alexander-Walker,Nickeil,Minnesota Timberwolves,G,77,205.0,6.2,1.7,1.8,5009633
Allen,Grayson,Milwaukee Bucks,G,76,198.0,10.4,3.3,2.3,8500000
Allen,Jarrett,Cleveland Cavaliers,C,81,243.0,14.3,9.8,1.7,20000000
Alvarado,Jose,New Orleans Pelicans,G,72,179.0,9.0,2.3,3.0,1563518
Anderson,Kyle,Minnesota Timberwolves,F-G,81,230.0,9.4,5.3,4.9,8780488
Antetokounmpo,Giannis,Milwaukee Bucks,F,84,243.0,31.1,11.8,5.7,42492492
Antetokounmpo,Thanasis,Milwaukee Bucks,F,79,219.0,1.4,1.2,0.4,1878720
Anthony,Cole,Orlando Magic,G,75,185.0,13.0,4.8,3.9,3613680
Anunoby,O.G.,Toronto Raptors,F,79,232.0,16.8,5.0,2.0,17357143
Augustin,D.J.,Houston Rockets,G,71,183.0,9.5,1.8,3.9,189940
Avdija,Deni,Washington Wizards,F,81,210.0,9.2,6.4,2.8,4916160
Ayton,Deandre,Phoenix Suns,C,84,250.0,18.0,10.0,1.7,30913750
Azubuike,Udoka,Utah Jazz,C-F,83,270.0,3.5,3.3,0.3,2174880
Bagley III,Marvin,Detroit Pistons,F,82,235.0,12.0,6.4,0.9,12500000
Baldwin Jr.,Patrick,Golden State Warriors,F,81,220.0,3.9,1.3,0.4,2226000
Ball,LaMelo,Charlotte Hornets,G,79,180.0,23.3,6.4,8.4,8623920
Ball,Lonzo,Chicago Bulls,G,78,190.0,11.9,5.7,6.2,19534884
Bamba,Mo,Los Angeles Lakers,C,84,231.0,6.6,4.6,0.9,10300000
Banchero,Paolo,Orlando Magic,F,82,250.0,20.0,6.9,3.7,11055120
Bane,Desmond,Memphis Grizzlies,G,77,215.0,21.5,5.0,4.4,2130240
Banton,Dalano,Toronto Raptors,F,79,204.0,4.6,1.5,1.2,1563318
Barnes,Harrison,Sacramento Kings,F,80,225.0,15.0,4.5,1.6,18352273
Barnes,Scottie,Toronto Raptors,F,80,225.0,15.3,6.6,4.8,7644720
Barrett,RJ,New York Knicks,F-G,78,214.0,19.6,5.0,2.8,10900635
Barton,Will,Toronto Raptors,G,77,181.0,6.8,2.4,2.0,432642
Bassey,Charles,San Antonio Spurs,C-F,81,230.0,5.7,5.5,1.4,2600000
Bates-Diop,Keita,San Antonio Spurs,F,80,229.0,9.7,3.7,1.5,1878720
Batum,Nicolas,LA Clippers,G-F,80,230.0,6.1,3.8,1.6,10843350
Bazley,Darius,Phoenix Suns,F,81,216.0,5.2,3.2,0.9,4264629
Beal,Bradley,Washington Wizards,G,76,207.0,23.2,3.9,5.4,43279250
Beasley,Malik,Los Angeles Lakers,G,76,187.0,12.7,3.5,1.5,15558035
Beauchamp,MarJon,Milwaukee Bucks,F,79,199.0,5.1,2.2,0.7,2485200
Bertans,Davis,Dallas Mavericks,F,82,225.0,4.6,1.2,0.5,16000000
Beverley,Patrick,Chicago Bulls,G,74,180.0,6.2,3.7,2.9,357717
Bey,Saddiq,Atlanta Hawks,F,79,215.0,13.8,4.7,1.5,2959080
Birch,Khem,Toronto Raptors,C,80,233.0,2.2,1.3,0.4,6667500
Bitadze,Goga,Orlando Magic,C-F,83,250.0,4.4,3.6,1.0,612181
Biyombo,Bismack,Phoenix Suns,C,80,255.0,4.3,4.3,0.9,1836090
Bogdanovic,Bogdan,Atlanta Hawks,G,77,225.0,14.0,3.1,2.8,18000000
Bogdanovic,Bojan,Detroit Pistons,F,79,226.0,21.6,3.8,2.6,19550000
Bol,Bol,Orlando Magic,C-F,86,220.0,9.1,5.8,1.0,2200000
Booker,Devin,Phoenix Suns,G,77,206.0,27.8,4.5,5.5,33833400
Boston Jr.,Brandon,LA Clippers,G,78,188.0,6.5,1.4,0.9,1563518
Boucher,Chris,Toronto Raptors,F-C,81,200.0,9.4,5.5,0.4,12690000
Bouknight,James,Charlotte Hornets,G,76,190.0,5.6,2.1,1.2,4362240
Branham,Malaki,San Antonio Spurs,F,76,180.0,10.2,2.7,1.9,2925600
Braun,Christian,Denver Nuggets,G,78,220.0,4.7,2.4,0.8,2808600
Bridges,Mikal,Brooklyn Nets,G-F,78,209.0,20.1,4.4,3.3,20100000
Brissett,Oshae,Indiana Pacers,F-G,79,210.0,6.1,3.4,0.7,1846738
Brogdon,Malcolm,Boston Celtics,G,76,229.0,14.9,4.2,3.7,22600000
Brooks,Dillon,Memphis Grizzlies,G-F,78,225.0,14.3,3.3,2.6,11400000
Brown,Bruce,Denver Nuggets,G-F,76,202.0,11.5,4.1,3.4,6479000
