participant_id,minutes_spent_sleeping
20181009180956,540
20180503180668,600
20180101180054,615
20181209180705,340
20180403180660,480
20180706180804,895
20180302181093,540
20180403180644,610
20180302181674,720
20180504182096,435
20181110181059,540
20180112171139,600
20181110182271,285
20181211182386,480
20180302181460,565
20180807181675,570
20181010182364,600
20180909181368,477
20180112171232,610
20180605182114,605
20181110180966,570
20180707181069,450
20180908181091,600
20180909182375,330
20180504181813,596
20180201181426,585
20180907181839,660
20180403181976,300
20180807180741,530
20181211181172,385
20180807181029,649
20180605182425,360
20180908181229,877
20180504182489,540
20180112171677,690
20181110180809,420
20180605180877,660
20180302181479,450
20181211181448,510
20180908181303,0
20180101181166,570
20180111171388,810
20181009181597,580
20180212172327,598
20180705180806,180
20180504182466,660
20180605180901,510
20181211180088,540
20180808180610,300
20180605182300,663
20180201182431,570
20180302181443,0
20180112171723,390
20180201180987,615
20181211180787,570
20181010182429,630
20180706181103,525
20180808180662,420
20180112171903,485
20180302181873,380
20180404181489,508
20181211180510,615
20180101182480,510
20180112171613,480
20180705181629,420
20180605181371,420
20180706182144,413
20181212180747,480
20180504182258,510
20180202182054,750
20180605181849,615
20180201182099,300
20181010181694,750
20180908181949,360
20180504181903,570
20180908181582,810
20180808181532,417
20180503180814,459
20180201182380,540
20180706181413,720
20180112171676,395
20180201180547,580
20180807181111,660
20180706181740,690
20181008180971,620
20180505182235,480
20181009182306,570
20181110181540,510
20180807182183,1209
20181009182014,650
20180301182345,690
20181109182305,325
20180605181158,480
20180605182394,510
20180403182440,610
20181110181848,733
20180908180533,540
20180201180701,420
20181211180738,540
20180807181156,420
20180605180124,420
20181009182070,391
20180808180525,460
20181212181188,565
20181211182169,420
20181211180939,300
20180302181538,600
20180807181435,760
20180101180912,420
20180605180745,540
20180201181524,495
20180605181531,475
20181211181885,540
20180908180723,660
20181110182427,430
20180605181800,585
20181110181637,525
20180908182242,475
20180301182054,596
20180302180795,570
20181008180979,600
20181009180612,840
20180101181394,630
20181211182471,510
20180112170627,420
20180101182009,465
20180402181929,585
20181110181705,500
20180908181264,600
20181110181640,285
20181009181378,615
20181010181761,750
20181110181418,440
20181111181674,734
20180201180838,419
20181009181590,1215
