NAME,DATE,TMIN,TMAX,MONTH,YEAR
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-01-01,38,61,1,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-01-02,22,38,1,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-01-03,20,35,1,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-01-04,20,54,1,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-01-05,28,57,1,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-01-06,32,67,1,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-01-07,43,62,1,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-01-08,36,51,1,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-01-09,43,55,1,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-01-10,40,52,1,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-01-11,46,61,1,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-01-12,26,47,1,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-01-13,23,36,1,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-01-14,20,51,1,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-01-15,23,47,1,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-01-16,42,59,1,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-01-17,33,63,1,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-01-18,24,37,1,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-01-19,24,51,1,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-01-20,38,63,1,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-01-21,36,66,1,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-01-22,36,61,1,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-01-23,36,61,1,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-01-24,31,57,1,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-01-25,34,48,1,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-01-26,43,61,1,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-01-27,35,50,1,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-01-28,27,49,1,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-01-29,22,55,1,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-01-30,32,63,1,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-01-31,48,66,1,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-02-01,52,65,2,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-02-02,39,63,2,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-02-03,32,63,2,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-02-04,50,58,2,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-02-05,45,56,2,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-02-06,34,50,2,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-02-07,27,55,2,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-02-08,36,47,2,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-02-09,31,45,2,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-02-10,27,39,2,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-02-11,20,36,2,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-02-12,18,39,2,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-02-13,18,40,2,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-02-14,36,43,2,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-02-15,40,60,2,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-02-16,43,60,2,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-02-17,36,57,2,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-02-18,39,55,2,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-02-19,31,48,2,2012
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2012-02-20,24,53,2,2012
