NAME,DATE,TMIN,TMAX,MONTH,YEAR
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-01-01,46,81,1,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-01-02,49,75,1,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-01-03,50,76,1,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-01-04,52,85,1,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-01-05,59,83,1,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-01-06,52,73,1,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-01-07,49,60,1,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-01-08,44,68,1,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-01-09,47,75,1,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-01-10,49,67,1,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-01-11,50,66,1,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-01-12,52,76,1,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-01-13,49,79,1,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-01-14,50,71,1,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-01-15,49,63,1,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-01-16,49,57,1,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-01-17,45,59,1,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-01-18,44,60,1,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-01-19,44,62,1,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-01-20,49,61,1,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-01-21,54,61,1,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-01-22,47,62,1,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-01-23,51,56,1,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-01-24,46,68,1,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-01-25,50,79,1,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-01-26,52,70,1,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-01-27,53,77,1,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-01-28,49,74,1,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-01-29,49,80,1,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-01-30,47,69,1,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-01-31,50,63,1,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-02-01,50,63,2,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-02-02,48,63,2,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-02-03,47,73,2,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-02-04,50,73,2,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-02-05,50,74,2,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-02-06,49,69,2,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-02-07,55,63,2,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-02-08,53,73,2,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-02-09,52,78,2,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-02-10,51,67,2,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-02-11,53,61,2,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-02-12,50,61,2,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-02-13,51,60,2,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-02-14,45,60,2,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-02-15,46,58,2,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-02-16,41,72,2,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-02-17,48,68,2,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-02-18,47,60,2,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-02-19,48,58,2,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-02-20,48,60,2,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-02-21,46,72,2,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-02-22,49,74,2,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-02-23,49,76,2,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-02-24,53,64,2,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-02-25,52,60,2,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-02-26,49,61,2,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-02-27,49,57,2,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-02-28,42,58,2,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-02-29,44,59,2,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-03-01,52,62,3,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-03-02,47,70,3,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-03-03,50,74,3,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-03-04,54,87,3,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-03-05,51,79,3,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-03-06,50,59,3,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-03-07,50,62,3,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-03-08,43,71,3,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-03-09,51,82,3,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-03-10,49,72,3,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-03-11,53,62,3,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-03-12,53,60,3,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-03-13,53,60,3,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-03-14,49,62,3,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-03-15,52,59,3,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-03-16,54,59,3,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-03-17,46,57,3,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-03-18,45,55,3,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-03-19,47,57,3,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-03-20,46,63,3,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-03-21,49,68,3,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-03-22,51,63,3,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-03-23,53,62,3,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-03-24,51,63,3,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-03-25,49,56,3,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-03-26,48,59,3,2012
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012-03-27,48,60,3,2012
