APN,DistrictCode,Council District,AddressFullAddress,AddressCity,AddressPostalCode,2017 LAND,2017 IMPR,appraisal_value,2017 TOTAL ASSD,finished_area
135140A15100CO,USD ,28,628 ROCKY MOUNTAIN PKWY,ANTIOCH,37013,36000,159600,195600,48900,1898.0
16205007900,USD ,27,5340 EULALA DR,NASHVILLE,37211,35000,145500,180500,45125,1824.0
155030C01700CO,GSD ,35,8117 POPLARWOOD LN,NASHVILLE,37221,72000,335100,407100,101775,3581.0
10513037300,USD ,17,923 WALDKIRCH AVE,NASHVILLE,37204,260000,695600,955600,238900,3258.0
02602001700,GO  ,10,513 HANOVER CT,GOODLETTSVILLE,37072,40000,164400,204400,51100,1874.0
10412011100,USD ,18,2005 20TH AVE S,NASHVILLE,37212,280000,651500,931500,232875,3409.75
176050B09700CO,USD ,33,6137 FIRELIGHT TRL,ANTIOCH,37013,36000,156300,192300,48075,1920.0
11503003500,USD ,23,754 BROOK HOLLOW RD,NASHVILLE,37205,180000,189800,369800,92450,1778.0
142010A01900CO,GSD ,22,8207 SAWYER BROWN RD D-1,NASHVILLE,37221,38000,147600,185600,46400,1585.0
182060A28300CO,GSD ,31,8813 CRESSENT GLEN CT,ANTIOCH,37013,34000,160100,194100,48525,1765.0
15007027100,USD ,33,3346 OAK TREES CT,ANTIOCH,37013,18500,77000,95500,23875,1154.0
14802004400,USD ,28,3416 LUNA CT,NASHVILLE,37211,28500,131500,160000,40000,1100.0
155070B03100CO,GSD ,35,6769 COLD STREAM DR,NASHVILLE,37221,68000,307400,375400,93850,3874.0
142160D00100CO,GSD ,34,2409 DEVON VALLEY DR,NASHVILLE,37221,63000,341700,404700,101175,2801.97998
058090A26900CO,GSD ,1,2656 JORDAN RIDGE DR,NASHVILLE,37218,47000,189100,236100,59025,2045.0
10303020300,USD ,24,138 51ST AVE N,NASHVILLE,37209,250000,545800,795800,198950,3176.0
10405016200,USD ,24,3715 PRINCETON AVE,NASHVILLE,37205,240000,526900,766900,191725,3583.0
03315007900,USD ,8,1021 WOODS LAKE DR,MADISON,37115,46000,90000,136000,34000,1100.0
08313034800,USD ,6,1420 BOSCOBEL ST,NASHVILLE,37206,180000,133800,313800,78450,1230.0
171030A21900CO,USD ,4,122 CARRIAGE CT,BRENTWOOD,37027,58000,222500,280500,70125,2104.0
03304004400,GO  ,10,521 ALTA LOMA RD,GOODLETTSVILLE,37072,51800,81600,133400,33350,1386.0
00400018100,GSD ,1,5541 DEER RUN,JOELTON,37080,75200,335800,411000,102750,2538.0
094020B00900CO,USD ,6,1807 A SEVIER ST,NASHVILLE,37206,112000,232200,344200,86050,1640.0
07115006500,USD ,5,1318 MERIDIAN ST,NASHVILLE,37207,80000,81300,161300,40325,951.0
05312014800,GSD ,11,207 32ND ST,OLD HICKORY,37138,31000,45200,76200,19050,1040.0
126160A22300CO,GSD ,35,7021 BRIDGEPORT DR,NASHVILLE,37221,54000,189700,243700,60925,1926.0
08405004000,USD ,6,818 ROSE PARK DR,NASHVILLE,37206,110000,99100,209100,52275,1525.0
