Accident Number,Date and Time,Number of Injuries,Hit and Run,Collision Type Description
20181075301,12/31/2018 10:55:00 PM,1,Y,Front to Rear
20181075381,12/31/2018 10:20:00 PM,0,Y,SIDESWIPE - SAME DIRECTION
20181075388,12/31/2018 09:50:00 PM,0,Y,HEAD-ON
20181075143,12/31/2018 09:26:00 PM,0,N,Front to Rear
20181075122,12/31/2018 08:57:00 PM,0,N,SIDESWIPE - SAME DIRECTION
20181074965,12/31/2018 06:59:00 PM,0,N,Front to Rear
20181075047,12/31/2018 06:21:00 PM,0,N,Front to Rear
20181074826,12/31/2018 05:57:00 PM,1,Y,Front to Rear
20181074825,12/31/2018 05:50:00 PM,0,Y,Front to Rear
20181074848,12/31/2018 05:33:00 PM,0,N,Front to Rear
20181074801,12/31/2018 05:16:00 PM,1,N,Front to Rear
20181074711,12/31/2018 04:55:00 PM,0,Y,Front to Rear
20181074704,12/31/2018 04:52:00 PM,1,N,Front to Rear
20181074721,12/31/2018 04:34:00 PM,0,Y,HEAD-ON
20181074653,12/31/2018 04:19:00 PM,3,N,Front to Rear
20181074715,12/31/2018 04:16:00 PM,0,N,Front to Rear
20181074563,12/31/2018 03:28:00 PM,0,N,Front to Rear
20181074469,12/31/2018 02:40:00 PM,0,N,Front to Rear
20181074435,12/31/2018 02:05:00 PM,0,N,SIDESWIPE - SAME DIRECTION
20181074430,12/31/2018 01:59:00 PM,0,N,Front to Rear
20181074406,12/31/2018 01:45:00 PM,1,N,Front to Rear
20181074382,12/31/2018 01:38:00 PM,0,Y,Front to Rear
20181074317,12/31/2018 01:04:00 PM,0,N,Front to Rear
20181074310,12/31/2018 12:59:00 PM,0,N,SIDESWIPE - SAME DIRECTION
20181074275,12/31/2018 12:50:00 PM,0,N,Front to Rear
20181074251,12/31/2018 12:28:00 PM,0,N,Front to Rear
20181074240,12/31/2018 12:23:00 PM,0,N,Front to Rear
20181074170,12/31/2018 11:40:00 AM,0,N,SIDESWIPE - SAME DIRECTION
20181074145,12/31/2018 11:18:00 AM,0,N,Front to Rear
20181073704,12/31/2018 06:46:00 AM,1,N,Front to Rear
20181073411,12/31/2018 02:50:00 AM,0,Y,Front to Rear
20181073406,12/31/2018 02:00:00 AM,0,Y,Front to Rear
20181073301,12/31/2018 01:34:00 AM,0,N,Front to Rear
20181073189,12/31/2018 12:38:00 AM,0,Y,SIDESWIPE - SAME DIRECTION
20181073239,12/31/2018 12:33:00 AM,0,N,SIDESWIPE - SAME DIRECTION
20181074686,12/31/2018 12:00:00 AM,0,N,SIDESWIPE - SAME DIRECTION
20181074617,12/31/2018 12:00:00 AM,0,N,SIDESWIPE - SAME DIRECTION
20181073186,12/30/2018 11:50:00 PM,0,N,SIDESWIPE - SAME DIRECTION
20181073108,12/30/2018 11:25:00 PM,0,Y,Front to Rear
20181073115,12/30/2018 11:05:00 PM,0,Y,Front to Rear
20181073073,12/30/2018 10:34:00 PM,0,N,Front to Rear
20181073080,12/30/2018 10:01:00 PM,0,N,SIDESWIPE - SAME DIRECTION
20181072997,12/30/2018 09:27:00 PM,2,Y,Front to Rear
20181072976,12/30/2018 09:14:00 PM,0,N,SIDESWIPE - SAME DIRECTION
20181072995,12/30/2018 09:05:00 PM,1,N,Front to Rear
20181072675,12/30/2018 06:00:00 PM,0,N,Front to Rear
20181072783,12/30/2018 05:06:00 PM,3,N,HEAD-ON
20181072589,12/30/2018 04:43:00 PM,0,Y,Front to Rear
20181072475,12/30/2018 03:50:00 PM,0,N,Front to Rear
20181072464,12/30/2018 03:46:00 PM,0,N,Front to Rear
20181072364,12/30/2018 02:59:00 PM,0,Y,SIDESWIPE - SAME DIRECTION
20181072225,12/30/2018 12:55:00 PM,0,N,Front to Rear
20181072240,12/30/2018 12:48:00 PM,0,N,Front to Rear
20181072215,12/30/2018 12:47:00 PM,0,N,Front to Rear
20181072213,12/30/2018 12:42:00 PM,1,N,Front to Rear
20181072209,12/30/2018 12:35:00 PM,1,N,Front to Rear
20181072147,12/30/2018 11:40:00 AM,0,N,Front to Rear
20181072082,12/30/2018 10:27:00 AM,0,N,SIDESWIPE - SAME DIRECTION
20181071870,12/30/2018 07:20:00 AM,0,Y,Front to Rear
20181071982,12/30/2018 03:00:00 AM,0,Y,Front to Rear
20181071460,12/30/2018 01:55:00 AM,0,Y,HEAD-ON
20181071062,12/29/2018 09:20:00 PM,1,Y,HEAD-ON
20181071059,12/29/2018 09:20:00 PM,1,N,HEAD-ON
20181070738,12/29/2018 06:00:00 PM,2,N,Front to Rear
20181070616,12/29/2018 04:38:00 PM,1,N,Front to Rear
20181070655,12/29/2018 04:35:00 PM,0,Y,SIDESWIPE - SAME DIRECTION
20181070511,12/29/2018 03:30:00 PM,3,N,SIDESWIPE - SAME DIRECTION
20181070429,12/29/2018 02:31:00 PM,0,N,Front to Rear
20181070396,12/29/2018 01:53:00 PM,2,Y,Front to Rear
20181070386,12/29/2018 01:52:00 PM,0,Y,Front to Rear
20181070373,12/29/2018 01:44:00 PM,0,N,Front to Rear
20181070320,12/29/2018 12:55:00 PM,1,N,Front to Rear
20181070376,12/29/2018 12:51:00 PM,1,N,Front to Rear
20181070302,12/29/2018 12:41:00 PM,3,N,HEAD-ON
20181070347,12/29/2018 12:40:00 PM,0,Y,SIDESWIPE - SAME DIRECTION
20181070340,12/29/2018 12:25:00 PM,0,N,Front to Rear
20181070308,12/29/2018 12:22:00 PM,0,N,Front to Rear
20181070249,12/29/2018 12:06:00 PM,0,N,SIDESWIPE - SAME DIRECTION
20181070227,12/29/2018 11:48:00 AM,1,Y,Front to Rear
20181070211,12/29/2018 11:30:00 AM,1,N,Front to Rear
20181070265,12/29/2018 11:30:00 AM,0,N,Front to Rear
20181070145,12/29/2018 10:45:00 AM,0,N,Front to Rear
20181070369,12/29/2018 12:00:00 AM,0,N,Front to Rear
20181070218,12/29/2018 12:00:00 AM,1,N,Front to Rear
20181069169,12/28/2018 11:25:00 PM,0,Y,Front to Rear
20181069150,12/28/2018 11:17:00 PM,1,Y,Front to Rear
20181069151,12/28/2018 11:10:00 PM,2,N,Front to Rear
20181069106,12/28/2018 10:03:00 PM,0,Y,SIDESWIPE - SAME DIRECTION
20181069002,12/28/2018 09:29:00 PM,0,Y,Front to Rear
20181069201,12/28/2018 09:00:00 PM,0,N,Front to Rear
20181068824,12/28/2018 08:00:00 PM,0,N,SIDESWIPE - SAME DIRECTION
20181068914,12/28/2018 07:46:00 PM,1,N,SIDESWIPE - SAME DIRECTION
20181068840,12/28/2018 07:41:00 PM,0,N,SIDESWIPE - SAME DIRECTION
20181068766,12/28/2018 07:16:00 PM,0,N,Front to Rear
20181068803,12/28/2018 06:56:00 PM,0,N,Front to Rear
20181068733,12/28/2018 06:50:00 PM,0,N,Front to Rear
20181068755,12/28/2018 06:47:00 PM,0,N,Front to Rear
20181068719,12/28/2018 06:47:00 PM,0,N,Front to Rear
20181068711,12/28/2018 06:45:00 PM,0,N,Front to Rear
20181068690,12/28/2018 06:20:00 PM,0,N,Front to Rear
20181068896,12/28/2018 06:18:00 PM,0,Y,Front to Rear
20181068626,12/28/2018 06:00:00 PM,1,N,Front to Rear
20181068645,12/28/2018 05:56:00 PM,0,N,Front to Rear
20181068635,12/28/2018 05:50:00 PM,0,N,Front to Rear
20181068641,12/28/2018 05:49:00 PM,1,N,Front to Rear
20181068624,12/28/2018 05:44:00 PM,0,N,SIDESWIPE - SAME DIRECTION
20181068606,12/28/2018 05:35:00 PM,4,N,Front to Rear
20181068596,12/28/2018 05:21:00 PM,0,Y,Front to Rear
20181068574,12/28/2018 05:16:00 PM,0,N,Front to Rear
20181068640,12/28/2018 05:15:00 PM,0,N,Front to Rear
20181068555,12/28/2018 05:10:00 PM,1,N,Front to Rear
20181068682,12/28/2018 05:10:00 PM,0,N,Front to Rear
20181068548,12/28/2018 05:08:00 PM,0,Y,Front to Rear
20181068598,12/28/2018 05:00:00 PM,0,N,SIDESWIPE - SAME DIRECTION
20181068586,12/28/2018 04:40:00 PM,0,N,Front to Rear
20181068440,12/28/2018 04:08:00 PM,0,N,SIDESWIPE - SAME DIRECTION
20181068433,12/28/2018 03:49:00 PM,0,N,Front to Rear
