GAME_ID,MATCHUP,player_name,SHOT_NUMBER,PERIOD,GAME_CLOCK,SHOT_RESULT,PTS_TYPE,SHOT_DIST,CLOSE_DEF_DIST
21400014,"OCT 29, 2014 - GSW @ SAC",stephen curry,1,1,7:32,made,2,10.9,4.2
21400014,"OCT 29, 2014 - GSW @ SAC",stephen curry,2,1,5:12,missed,3,24.2,4.1
21400014,"OCT 29, 2014 - GSW @ SAC",stephen curry,3,2,8:52,made,2,2.7,5.1
21400014,"OCT 29, 2014 - GSW @ SAC",stephen curry,4,2,6:45,made,2,1.6,4.4
21400014,"OCT 29, 2014 - GSW @ SAC",stephen curry,5,2,5:39,missed,3,27.8,5.4
21400014,"OCT 29, 2014 - GSW @ SAC",stephen curry,6,2,5:03,missed,2,11.4,4.7
21400014,"OCT 29, 2014 - GSW @ SAC",stephen curry,7,2,1:10,missed,2,6.2,3.5
21400014,"OCT 29, 2014 - GSW @ SAC",stephen curry,8,3,10:22,missed,3,23.3,2.7
21400014,"OCT 29, 2014 - GSW @ SAC",stephen curry,9,3,8:05,missed,3,27.4,7.1
21400014,"OCT 29, 2014 - GSW @ SAC",stephen curry,10,3,4:29,made,3,25.4,4.2
21400014,"OCT 29, 2014 - GSW @ SAC",stephen curry,11,3,2:36,missed,2,2.9,0.8
21400014,"OCT 29, 2014 - GSW @ SAC",stephen curry,12,3,0:45,missed,3,24.9,2.5
21400014,"OCT 29, 2014 - GSW @ SAC",stephen curry,13,4,6:01,made,2,3.2,2.9
21400014,"OCT 29, 2014 - GSW @ SAC",stephen curry,14,4,3:30,made,2,6.5,1.9
21400014,"OCT 29, 2014 - GSW @ SAC",stephen curry,15,4,2:15,missed,3,23.4,1.3
21400014,"OCT 29, 2014 - GSW @ SAC",stephen curry,16,4,1:33,made,3,25.0,6.5
21400014,"OCT 29, 2014 - GSW @ SAC",stephen curry,17,4,0:34,missed,3,25.6,3.3
21400038,"NOV 01, 2014 - GSW vs. LAL",stephen curry,1,1,10:47,missed,2,7.1,1.8
21400038,"NOV 01, 2014 - GSW vs. LAL",stephen curry,2,1,6:54,made,2,19.7,6.8
21400038,"NOV 01, 2014 - GSW vs. LAL",stephen curry,3,1,6:23,missed,3,24.2,4.1
21400038,"NOV 01, 2014 - GSW vs. LAL",stephen curry,4,1,6:04,missed,2,10.0,2.7
21400038,"NOV 01, 2014 - GSW vs. LAL",stephen curry,5,1,5:06,made,3,23.8,4.8
21400038,"NOV 01, 2014 - GSW vs. LAL",stephen curry,6,1,3:48,made,2,19.0,3.1
21400038,"NOV 01, 2014 - GSW vs. LAL",stephen curry,7,1,3:21,made,2,11.9,5.5
21400038,"NOV 01, 2014 - GSW vs. LAL",stephen curry,8,1,2:15,made,3,25.3,7.7
21400038,"NOV 01, 2014 - GSW vs. LAL",stephen curry,9,1,0:50,missed,3,25.8,6.1
21400038,"NOV 01, 2014 - GSW vs. LAL",stephen curry,10,2,4:13,made,2,8.2,2.9
21400038,"NOV 01, 2014 - GSW vs. LAL",stephen curry,11,2,1:06,missed,2,13.9,1.5
21400038,"NOV 01, 2014 - GSW vs. LAL",stephen curry,12,3,11:31,missed,3,24.5,6.1
21400038,"NOV 01, 2014 - GSW vs. LAL",stephen curry,13,3,7:48,missed,2,2.3,2.5
21400038,"NOV 01, 2014 - GSW vs. LAL",stephen curry,14,3,6:38,made,2,2.5,0.0
21400038,"NOV 01, 2014 - GSW vs. LAL",stephen curry,15,3,5:10,made,3,25.6,4.7
21400038,"NOV 01, 2014 - GSW vs. LAL",stephen curry,16,3,3:29,missed,3,24.6,1.7
21400038,"NOV 01, 2014 - GSW vs. LAL",stephen curry,17,4,7:05,made,2,7.8,0.0
21400038,"NOV 01, 2014 - GSW vs. LAL",stephen curry,18,4,6:31,missed,3,24.6,12.3
21400038,"NOV 01, 2014 - GSW vs. LAL",stephen curry,19,4,2:18,made,2,11.1,6.0
21400042,"NOV 02, 2014 - GSW @ POR",stephen curry,1,1,10:59,missed,2,17.1,1.4
21400042,"NOV 02, 2014 - GSW @ POR",stephen curry,2,1,9:26,made,3,24.6,4.1
21400042,"NOV 02, 2014 - GSW @ POR",stephen curry,3,1,8:12,made,2,3.2,1.9
21400042,"NOV 02, 2014 - GSW @ POR",stephen curry,4,1,7:46,made,2,16.1,2.0
21400042,"NOV 02, 2014 - GSW @ POR",stephen curry,5,1,5:56,missed,3,27.5,3.1
21400042,"NOV 02, 2014 - GSW @ POR",stephen curry,6,1,4:12,missed,2,20.2,3.8
21400042,"NOV 02, 2014 - GSW @ POR",stephen curry,7,2,5:01,made,2,19.3,4.6
21400042,"NOV 02, 2014 - GSW @ POR",stephen curry,8,2,4:23,missed,2,21.0,6.3
21400042,"NOV 02, 2014 - GSW @ POR",stephen curry,9,2,2:49,missed,2,6.1,2.7
21400042,"NOV 02, 2014 - GSW @ POR",stephen curry,10,2,0:22,missed,2,21.7,7.4
21400042,"NOV 02, 2014 - GSW @ POR",stephen curry,11,3,10:55,missed,2,2.3,1.9
21400042,"NOV 02, 2014 - GSW @ POR",stephen curry,12,3,10:14,made,2,18.8,2.9
21400042,"NOV 02, 2014 - GSW @ POR",stephen curry,13,3,8:26,missed,3,24.3,3.0
21400042,"NOV 02, 2014 - GSW @ POR",stephen curry,14,3,7:01,made,2,22.4,2.0
21400042,"NOV 02, 2014 - GSW @ POR",stephen curry,15,3,4:52,missed,3,25.8,6.0
21400042,"NOV 02, 2014 - GSW @ POR",stephen curry,16,3,4:22,missed,3,22.6,5.2
21400042,"NOV 02, 2014 - GSW @ POR",stephen curry,17,4,3:56,missed,2,5.7,3.7
21400042,"NOV 02, 2014 - GSW @ POR",stephen curry,18,4,2:18,missed,2,20.9,2.9
21400068,"NOV 05, 2014 - GSW vs. LAC",stephen curry,1,1,10:31,missed,3,24.3,3.2
21400068,"NOV 05, 2014 - GSW vs. LAC",stephen curry,2,1,7:47,missed,2,6.6,3.3
21400068,"NOV 05, 2014 - GSW vs. LAC",stephen curry,3,1,6:20,made,3,23.4,3.3
21400068,"NOV 05, 2014 - GSW vs. LAC",stephen curry,4,1,6:15,made,2,7.6,6.8
21400068,"NOV 05, 2014 - GSW vs. LAC",stephen curry,5,1,4:28,made,2,3.0,1.0
21400068,"NOV 05, 2014 - GSW vs. LAC",stephen curry,6,1,3:53,missed,2,11.6,5.6
21400068,"NOV 05, 2014 - GSW vs. LAC",stephen curry,7,2,6:21,made,2,20.0,1.8
21400068,"NOV 05, 2014 - GSW vs. LAC",stephen curry,8,2,3:33,made,3,22.7,4.1
21400068,"NOV 05, 2014 - GSW vs. LAC",stephen curry,9,2,3:14,missed,3,26.2,5.0
21400068,"NOV 05, 2014 - GSW vs. LAC",stephen curry,10,2,0:24,made,3,22.6,14.6
21400068,"NOV 05, 2014 - GSW vs. LAC",stephen curry,11,3,11:15,missed,3,22.8,3.9
21400068,"NOV 05, 2014 - GSW vs. LAC",stephen curry,12,4,10:58,missed,2,20.2,3.8
21400068,"NOV 05, 2014 - GSW vs. LAC",stephen curry,13,4,10:37,missed,2,11.6,6.2
21400068,"NOV 05, 2014 - GSW vs. LAC",stephen curry,14,4,10:01,missed,2,4.5,3.1
21400068,"NOV 05, 2014 - GSW vs. LAC",stephen curry,15,4,8:18,made,2,18.8,6.3
