HHID,AverageTimeSitting,AvgDrinksPerWeek,MorningNightPerson
91000002.0,8.0,0.0,3.0
91000008.0,6.0,0.0,4.0
91000012.0,5.0,8.0,4.0
91000021.0,0.0,0.0,1.0
91000022.0,3.0,12.0,2.0
91000024.0,4.0,0.0,1.0
91000037.0,10.0,0.0,5.0
91000072.0,6.0,4.0,4.0
91000078.0,3.0,3.0,2.0
91000085.0,12.0,1.0,1.0
91000088.0,2.0,0.0,1.0
91000089.0,12.0,1.0,2.0
91000091.0,6.0,0.0,5.0
91000094.0,2.0,1.0,1.0
91000098.0,12.0,0.0,5.0
91000104.0,2.0,0.0,1.0
91000108.0,3.0,0.0,2.0
91000113.0,2.0,0.0,1.0
91000119.0,8.0,0.0,1.0
91000125.0,6.0,3.0,4.0
91000136.0,8.0,0.0,3.0
91000138.0,3.0,0.0,2.0
91000143.0,5.0,0.0,2.0
91000157.0,4.0,0.0,4.0
91000175.0,1.0,0.0,3.0
91000177.0,2.0,0.0,1.0
91000180.0,5.0,0.0,3.0
91000184.0,10.0,0.0,1.0
91000192.0,8.0,2.0,1.0
91000193.0,10.0,0.0,4.0
91000194.0,6.0,0.0,3.0
91000198.0,6.0,63.0,3.0
91000203.0,2.0,0.0,3.0
91000204.0,6.0,10.0,4.0
91000209.0,7.0,0.0,2.0
91000210.0,5.0,10.0,2.0
91000212.0,6.0,0.0,1.0
91000213.0,10.0,0.0,1.0
91000221.0,6.0,2.0,1.0
91000222.0,3.0,1.0,4.0
91000231.0,10.0,10.0,3.0
91000252.0,6.0,0.0,5.0
91000255.0,5.0,0.0,1.0
91000261.0,4.0,6.0,1.0
91000263.0,10.0,10.0,2.0
91000283.0,5.0,6.0,1.0
91000288.0,16.0,2.0,1.0
91000293.0,3.0,3.0,4.0
91000299.0,10.0,12.0,4.0
91000300.0,10.0,0.0,4.0
91000306.0,13.0,0.0,3.0
91000308.0,12.0,0.0,3.0
91000310.0,8.0,1.0,4.0
91000323.0,5.0,0.0,3.0
91000328.0,3.0,0.0,3.0
91000331.0,8.0,2.0,4.0
91000339.0,6.0,0.0,2.0
91000342.0,8.0,0.0,1.0
91000344.0,20.0,0.0,3.0
91000348.0,10.0,0.0,2.0
91000349.0,12.0,0.0,2.0
91000353.0,6.0,6.0,3.0
91000365.0,2.0,15.0,2.0
91000366.0,8.0,8.0,3.0
91000376.0,12.0,0.0,1.0
91000384.0,8.0,2.0,1.0
91000390.0,10.0,28.0,1.0
91000393.0,12.0,8.0,5.0
91000398.0,4.0,1.0,3.0
91000403.0,12.0,0.0,5.0
91000405.0,2.0,0.0,1.0
91000406.0,4.0,8.0,3.0
91000418.0,6.0,0.0,1.0
91000432.0,3.0,0.0,2.0
91000436.0,8.0,0.0,2.0
91000441.0,4.0,0.0,2.0
91000467.0,8.0,0.0,1.0
91000476.0,8.0,0.0,3.0
91000480.0,3.0,1.0,1.0
91000481.0,1.0,0.0,4.0
91000482.0,8.0,6.0,4.0
91000484.0,10.0,1.0,4.0
91000486.0,3.0,0.0,2.0
91000490.0,6.0,0.0,1.0
91000505.0,10.0,3.0,5.0
91000508.0,3.0,10.0,1.0
91000509.0,4.0,0.0,1.0
91000516.0,2.0,0.0,2.0
91000525.0,3.0,4.0,1.0
91000527.0,8.0,4.0,5.0
91000530.0,8.0,5.0,1.0
91000535.0,3.0,0.0,1.0
91000536.0,12.0,1.0,1.0
91000539.0,1.0,0.0,2.0
91000548.0,7.0,6.0,3.0
91000560.0,5.0,0.0,1.0
91000564.0,5.0,0.0,4.0
91000569.0,10.0,6.0,2.0
91000571.0,5.0,0.0,4.0
91000573.0,6.0,0.0,1.0
91000578.0,3.0,0.0,1.0
91000582.0,4.0,0.0,4.0
91000586.0,10.0,2.0,5.0
91000594.0,7.0,1.0,5.0
91000603.0,4.0,9.0,4.0
91000608.0,4.0,0.0,3.0
91000612.0,5.0,0.0,1.0
91000614.0,2.0,2.0,4.0
91000615.0,3.0,14.0,1.0
91000618.0,10.0,0.0,1.0
91000621.0,3.0,0.0,3.0
91000628.0,5.0,0.0,3.0
91000638.0,3.0,30.0,1.0
91000640.0,4.0,2.0,2.0
91000644.0,6.0,20.0,2.0
91000647.0,5.0,10.0,1.0
91000653.0,4.0,0.0,3.0
91000654.0,4.0,0.0,1.0
91000669.0,14.0,1.0,5.0
91000670.0,10.0,2.0,2.0
91000693.0,6.0,16.0,2.0
91000697.0,5.0,0.0,2.0
91000702.0,6.0,16.0,5.0
91000716.0,18.0,0.0,3.0
91000717.0,9.0,0.0,5.0
91000734.0,2.0,0.0,2.0
91000736.0,12.0,2.0,1.0
91000740.0,5.0,12.0,4.0
91000741.0,0.0,0.0,2.0
91000752.0,3.0,1.0,1.0
91000758.0,8.0,3.0,3.0
91000759.0,12.0,0.0,1.0
91000763.0,6.0,0.0,1.0
91000764.0,4.0,1.0,2.0
91000765.0,4.0,6.0,3.0
91000780.0,12.0,0.0,1.0
91000785.0,2.0,2.0,4.0
91000804.0,4.0,3.0,4.0
91000811.0,8.0,0.0,4.0
91000821.0,10.0,0.0,1.0
91000824.0,1.0,1.0,1.0
91000827.0,5.0,3.0,3.0
91000845.0,7.0,28.0,2.0
91000847.0,2.0,4.0,2.0
91000852.0,7.0,12.0,5.0
91000855.0,10.0,10.0,1.0
91000856.0,12.0,0.0,4.0
91000862.0,16.0,14.0,1.0
91000869.0,5.0,1.0,2.0
91000872.0,6.0,10.0,4.0
91000874.0,15.0,1.0,4.0
91000881.0,8.0,0.0,2.0
91000886.0,1.0,0.0,4.0
91000889.0,8.0,0.0,2.0
91000892.0,8.0,0.0,1.0
91000893.0,8.0,3.0,5.0
91000895.0,8.0,4.0,4.0
91000906.0,8.0,0.0,3.0
91000910.0,8.0,0.0,2.0
91000916.0,1.0,0.0,1.0
91000924.0,3.0,1.0,5.0
91000927.0,11.0,0.0,3.0
91000929.0,3.0,6.0,2.0
91000934.0,12.0,0.0,1.0
91000935.0,5.0,2.0,1.0
91000949.0,0.0,3.0,1.0
91000953.0,8.0,12.0,3.0
91000955.0,10.0,0.0,2.0
91000964.0,7.0,0.0,3.0
91000976.0,9.0,0.0,4.0
91000977.0,10.0,0.0,2.0
91000981.0,5.0,3.0,3.0
91000986.0,2.0,21.0,2.0
91001002.0,4.0,0.0,2.0
91001003.0,8.0,0.0,1.0
91001013.0,10.0,0.0,3.0
91001018.0,12.0,1.0,5.0
91001022.0,2.0,0.0,1.0
91001027.0,3.0,0.0,4.0
91001050.0,7.0,1.0,1.0
91001052.0,7.0,1.0,2.0
91001055.0,8.0,0.0,4.0
91001064.0,10.0,0.0,1.0
91001073.0,10.0,0.0,4.0
91001074.0,4.0,10.0,3.0
91001076.0,12.0,1.0,2.0
91001077.0,4.0,4.0,1.0
91001085.0,4.0,0.0,4.0
91001091.0,3.0,0.0,4.0
91001097.0,6.0,12.0,2.0
91001104.0,5.0,0.0,4.0
91001105.0,11.0,2.0,1.0
91001116.0,2.0,0.0,1.0
91001123.0,5.0,0.0,1.0
91001130.0,6.0,2.0,2.0
91001134.0,12.0,0.0,4.0
91001138.0,4.0,0.0,3.0
91001142.0,6.0,0.0,3.0
91001147.0,7.0,0.0,2.0
91001151.0,14.0,0.0,2.0
91001162.0,3.0,0.0,1.0
91001163.0,9.0,6.0,4.0
91001172.0,8.0,3.0,1.0
91001191.0,1.0,0.0,1.0
91001195.0,4.0,0.0,4.0
91001200.0,4.0,6.0,3.0
91001201.0,3.0,14.0,1.0
91001207.0,20.0,14.0,3.0
91001210.0,14.0,3.0,4.0
91001212.0,7.0,0.0,4.0
91001216.0,6.0,0.0,1.0
91001222.0,12.0,4.0,3.0
91001228.0,7.0,0.0,1.0
91001241.0,10.0,0.0,1.0
91001242.0,2.0,0.0,2.0
91001247.0,2.0,0.0,4.0
91001252.0,1.0,1.0,3.0
91001254.0,20.0,10.0,5.0
91001260.0,4.0,0.0,4.0
91001263.0,6.0,0.0,2.0
91001265.0,8.0,1.0,1.0
91001267.0,10.0,4.0,3.0
91001268.0,8.0,0.0,5.0
91001275.0,4.0,6.0,5.0
91001281.0,10.0,0.0,2.0
91001282.0,8.0,3.0,4.0
91001287.0,2.0,6.0,4.0
91001289.0,10.0,0.0,1.0
91001297.0,3.0,0.0,4.0
91001299.0,10.0,4.0,1.0
91001304.0,6.0,3.0,3.0
91001308.0,8.0,0.0,1.0
91001309.0,12.0,21.0,1.0
91001315.0,8.0,1.0,1.0
91001324.0,16.0,2.0,1.0
91001331.0,8.0,0.0,1.0
91001333.0,5.0,0.0,2.0
91001346.0,4.0,0.0,1.0
91001349.0,5.0,1.0,5.0
91001353.0,8.0,2.0,4.0
91001355.0,3.0,10.0,5.0
91001364.0,6.0,0.0,3.0
91001365.0,6.0,12.0,1.0
91001367.0,8.0,1.0,5.0
91001370.0,8.0,0.0,2.0
91001380.0,1.0,0.0,3.0
91001385.0,4.0,4.0,4.0
91001388.0,6.0,0.0,3.0
91001395.0,5.0,0.0,2.0
91001410.0,4.0,2.0,1.0
91001411.0,8.0,1.0,4.0
91001412.0,13.0,0.0,5.0
91001418.0,2.0,2.0,4.0
91001420.0,4.0,2.0,1.0
91001429.0,7.0,2.0,5.0
91001444.0,1.0,0.0,2.0
91001447.0,4.0,0.0,3.0
91001448.0,7.0,0.0,1.0
91001453.0,2.0,0.0,2.0
91001454.0,5.0,0.0,1.0
91001455.0,8.0,0.0,2.0
91001470.0,5.0,2.0,1.0
91001475.0,5.0,0.0,3.0
91001477.0,2.0,0.0,1.0
91001483.0,9.0,8.0,4.0
91001489.0,10.0,15.0,2.0
91001501.0,6.0,0.0,4.0
91001514.0,4.0,8.0,4.0
91001516.0,2.0,0.0,1.0
91001528.0,10.0,70.0,4.0
91001534.0,10.0,0.0,1.0
91001540.0,4.0,6.0,1.0
91001542.0,10.0,0.0,1.0
91001544.0,10.0,14.0,1.0
91001550.0,4.0,14.0,1.0
91001554.0,3.0,10.0,4.0
91001559.0,8.0,0.0,3.0
91001562.0,1.0,0.0,1.0
91001567.0,5.0,21.0,1.0
91001578.0,12.0,0.0,5.0
91001583.0,8.0,6.0,4.0
91001587.0,8.0,6.0,1.0
91001588.0,20.0,15.0,1.0
91001594.0,6.0,10.0,1.0
91001599.0,7.0,1.0,1.0
91001608.0,10.0,0.0,1.0
91001620.0,18.0,0.0,2.0
91001621.0,3.0,0.0,3.0
91001628.0,2.0,0.0,3.0
91001629.0,20.0,0.0,4.0
91001634.0,20.0,0.0,4.0
91001636.0,1.0,2.0,2.0
91001642.0,16.0,2.0,3.0
91001658.0,4.0,2.0,4.0
91001660.0,5.0,1.0,2.0
91001662.0,6.0,5.0,1.0
91001670.0,8.0,0.0,3.0
91001677.0,8.0,4.0,2.0
91001680.0,8.0,1.0,4.0
91001681.0,3.0,8.0,3.0
91001682.0,7.0,0.0,2.0
91001698.0,4.0,18.0,3.0
91001700.0,2.0,0.0,1.0
91001706.0,10.0,0.0,1.0
91001711.0,12.0,0.0,3.0
91001722.0,4.0,1.0,4.0
91001739.0,10.0,0.0,1.0
91001741.0,4.0,0.0,2.0
91001754.0,4.0,0.0,3.0
91001765.0,10.0,8.0,2.0
91001779.0,8.0,0.0,4.0
91001781.0,9.0,0.0,5.0
91001837.0,2.0,9.0,3.0
91001838.0,13.0,0.0,2.0
91001842.0,5.0,0.0,1.0
91001844.0,8.0,0.0,2.0
91001850.0,6.0,2.0,4.0
91001851.0,18.0,0.0,3.0
91001857.0,20.0,0.0,1.0
91001860.0,5.0,6.0,3.0
91001862.0,6.0,0.0,3.0
91001867.0,10.0,2.0,3.0
91001870.0,5.0,0.0,1.0
91001872.0,12.0,5.0,3.0
91001881.0,8.0,3.0,3.0
91001884.0,3.0,0.0,1.0
91001892.0,7.0,1.0,1.0
91001894.0,6.0,1.0,1.0
91001900.0,4.0,0.0,5.0
91001904.0,4.0,0.0,5.0
91001912.0,1.0,1.0,1.0
91001914.0,2.0,2.0,3.0
91001917.0,8.0,0.0,1.0
91001918.0,2.0,0.0,3.0
91001934.0,5.0,12.0,5.0
91001942.0,7.0,14.0,1.0
91001946.0,10.0,0.0,5.0
91001964.0,2.0,2.0,3.0
91001968.0,5.0,0.0,2.0
91001975.0,6.0,1.0,4.0
91001986.0,10.0,2.0,4.0
91001998.0,5.0,0.0,1.0
91002002.0,8.0,6.0,4.0
91002005.0,4.0,6.0,2.0
91002007.0,4.0,0.0,3.0
91002009.0,7.0,1.0,4.0
91002011.0,12.0,14.0,3.0
91002012.0,12.0,4.0,4.0
91002019.0,8.0,12.0,4.0
