Accident Number,Date and Time,Hit and Run,late_night
20180742869,2018-08-30 04:23:00,Y,True
20180422523,2018-05-13 04:29:00,N,True
20180159285,2018-02-18 02:47:00,Y,True
20180200405,2018-03-03 02:09:00,N,True
20180068531,2018-01-22 01:03:00,N,True
20180349686,2018-04-19 00:39:00,Y,True
20180040120,2018-01-13 00:45:00,N,True
20181002684,2018-12-02 04:35:00,Y,True
20180925854,2018-11-04 02:26:00,Y,True
20180313960,2018-04-08 00:04:00,N,True
20180981551,2018-11-24 03:20:00,Y,True
20180568033,2018-07-01 00:05:00,N,True
20180136487,2018-02-11 02:48:00,N,True
20180698687,2018-08-15 03:26:00,N,True
20180710392,2018-08-19 04:00:00,N,True
20180270854,2018-03-25 00:45:00,Y,True
20180048610,2018-01-16 02:16:00,N,True
20180483198,2018-06-03 01:05:00,N,True
20180161507,2018-02-19 02:11:00,N,True
20180463534,2018-05-27 00:08:00,Y,True
20180903513,2018-10-27 04:14:00,N,True
20180759064,2018-09-05 01:05:00,N,True
20181052003,2018-12-21 02:40:00,N,True
20180795565,2018-09-18 01:50:00,N,True
20180725206,2018-08-24 01:12:00,N,True
20180943271,2018-11-10 00:05:00,Y,True
20180981143,2018-11-24 00:06:00,Y,True
20180422413,2018-05-13 01:28:00,N,True
20180443315,2018-05-20 03:12:00,Y,True
20180000464,2018-01-01 00:49:00,N,True
20180013709,2018-01-05 00:55:00,N,True
20180300754,2018-04-04 00:24:00,Y,True
20180945574,2018-11-11 00:40:00,N,True
20180542898,2018-06-23 00:46:00,N,True
20180268116,2018-03-24 00:04:00,N,True
20180920617,2018-11-02 03:05:00,Y,True
20180885903,2018-10-21 02:05:00,Y,True
20180707912,2018-08-18 01:46:00,N,True
20180040443,2018-01-13 03:46:00,N,True
20180689975,2018-08-14 03:08:00,N,True
20180915968,2018-10-31 14:56:00,N,False
20180562521,2018-06-29 09:10:00,N,False
20180471124,2018-05-30 06:00:00,N,False
20180796359,2018-09-18 09:00:00,N,False
20180429541,2018-05-15 16:02:00,N,False
20180530123,2018-06-19 06:55:00,N,False
20180528074,2018-06-18 13:45:00,N,False
20181074317,2018-12-31 13:04:00,N,False
20180975920,2018-11-21 15:31:00,N,False
20180432164,2018-05-16 12:19:00,N,False
20180632363,2018-07-23 07:51:00,Y,False
20180810060,2018-09-22 19:07:00,N,False
20180215311,2018-03-07 19:21:00,N,False
20180218656,2018-03-08 17:00:00,Y,False
20180717033,2018-08-21 14:09:00,Y,False
20180665883,2018-08-03 10:59:00,N,False
20180646336,2018-07-27 15:57:00,Y,False
20180881703,2018-10-19 09:43:00,Y,False
20180173180,2018-02-22 11:45:00,Y,False
20181056111,2018-12-22 22:32:00,N,False
20180038254,2018-01-12 09:40:00,Y,False
20180602014,2018-07-12 14:18:00,N,False
20180170461,2018-02-21 16:45:00,N,False
20180364521,2018-04-24 06:25:00,N,False
20180743334,2018-08-30 08:00:00,N,False
20180545264,2018-06-23 23:10:00,Y,False
20180144855,2018-02-13 18:35:00,N,False
20180755016,2018-09-03 18:00:00,N,False
20180605538,2018-07-13 18:00:00,N,False
20180479244,2018-06-01 15:51:00,N,False
20180690749,2018-08-12 12:27:00,N,False
20180702630,2018-08-16 08:40:00,N,False
20180951587,2018-11-13 09:15:00,N,False
20180702774,2018-08-15 21:16:00,Y,False
20180646215,2018-07-27 15:10:00,N,False
20180106108,2018-02-01 15:40:00,N,False
20180626326,2018-07-20 21:23:00,N,False
20180530400,2018-06-19 08:22:00,Y,False
20180739904,2018-08-29 07:12:00,N,False
20180983163,2018-11-24 23:09:00,N,False
