Permit #,Contact,Permit Type Description,Permit Subtype Description,Date Entered,Date Issued,wait_time
2017045529,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2017-07-12,2017-07-21,9
2020012824,BEAZER HOMES CORP,Building Residential - New,Single Family Residence,2020-02-26,2020-03-09,12
2017046570,BEAZER HOMES CORP,Building Residential - New,Single Family Residence,2017-07-17,2017-08-09,23
2019041331,REGENT HOMES LLC,Building Residential - New,Single Family Residence,2019-07-12,2019-07-24,12
2019041336,REGENT HOMES LLC,Building Residential - New,Single Family Residence,2019-07-12,2019-07-24,12
2019043322,REGENT HOMES LLC,Building Residential - New,Single Family Residence,2019-07-22,2019-07-24,2
2020016372,REGENT HOMES LLC,Building Residential - New,Single Family Residence,2020-03-12,2020-03-24,12
2020015669,REGENT HOMES LLC,Building Residential - New,Single Family Residence,2020-03-10,2020-03-24,14
2020012421,BEAZER HOMES CORP,Building Residential - New,Single Family Residence,2020-02-25,2020-03-09,13
2020005490,BEAZER HOMES CORP,Building Residential - New,Single Family Residence,2020-01-24,2020-02-13,20
2019056443,REGENT HOMES LLC,Building Residential - New,Single Family Residence,2019-09-17,2019-09-20,3
2019056438,REGENT HOMES LLC,Building Residential - New,Single Family Residence,2019-09-17,2019-09-20,3
2019055022,LEGACY SOUTH BUILDERS LLC,Building Residential - New,Single Family Residence,2019-09-11,2019-09-20,9
2019056429,REGENT HOMES LLC,Building Residential - New,Single Family Residence,2019-09-17,2019-09-20,3
2018029379,REGENT HOMES LLC,Building Residential - New,Single Family Residence,2018-05-23,2018-05-31,8
2020014009,REGENT HOMES LLC,Building Residential - New,Single Family Residence,2020-03-04,2020-03-24,20
2019042453,BEAZER HOMES CORP,Building Residential - New,Single Family Residence,2019-07-17,2019-07-30,13
2020016369,REGENT HOMES LLC,Building Residential - New,Single Family Residence,2020-03-12,2020-03-24,12
2019056436,REGENT HOMES LLC,Building Residential - New,Single Family Residence,2019-09-17,2019-09-20,3
2019055018,LEGACY SOUTH BUILDERS LLC,Building Residential - New,Single Family Residence,2019-09-11,2019-09-20,9
2019064514,BEAZER HOMES CORP,Building Residential - New,Single Family Residence,2019-10-22,2019-11-04,13
2019041334,REGENT HOMES LLC,Building Residential - New,Single Family Residence,2019-07-12,2019-07-30,18
2019042464,BEAZER HOMES CORP,Building Residential - New,Single Family Residence,2019-07-17,2019-07-30,13
2019042693,BEAZER HOMES CORP,Building Residential - New,Single Family Residence,2019-07-18,2019-07-30,12
2019039537,BEAZER HOMES CORP,Building Residential - New,Single Family Residence,2019-07-03,2019-07-30,27
2019042455,BEAZER HOMES CORP,Building Residential - New,Single Family Residence,2019-07-17,2019-07-30,13
2019042150,BEAZER HOMES CORP,Building Residential - New,Single Family Residence,2019-07-16,2019-07-30,14
2019031538,BEAZER HOMES CORP,Building Residential - New,Single Family Residence,2019-05-30,2019-06-17,18
2019031536,BEAZER HOMES CORP,Building Residential - New,Single Family Residence,2019-05-30,2019-06-17,18
2019054489,BEAZER HOMES CORP,Building Residential - New,Single Family Residence,2019-09-09,2019-09-23,14
2019054490,BEAZER HOMES CORP,Building Residential - New,Single Family Residence,2019-09-09,2019-09-23,14
2020012206,REGENT HOMES LLC,Building Residential - New,Single Family Residence,2020-02-25,2020-03-24,28
2020012203,REGENT HOMES LLC,Building Residential - New,Single Family Residence,2020-02-25,2020-03-24,28
2019054486,BEAZER HOMES CORP,Building Residential - New,Single Family Residence,2019-09-09,2019-09-23,14
