Permit #,Permit Type Description,Permit Subtype Description,Date Entered,Date Issued,wait_time
2019000046,Building Commercial - New,Restaurant (Full Service),2019-01-02,2019-06-06,155
2019053398,Building Commercial - New,Restaurant (Take Out),2019-09-04,2019-09-24,20
2020009751,Building Commercial - New,Restaurant (Full Service),2020-02-13,2020-02-14,1
2019038028,Building Commercial - New,Restaurant (Fast Food),2019-06-26,2019-07-05,9
2019038893,Building Commercial - New,Restaurant (Take Out),2019-07-01,2019-09-27,88
2019020154,Building Commercial - New,Restaurant (Full Service),2019-04-08,2019-08-09,123
2019048750,Building Commercial - New,Restaurant (Full Service),2019-08-14,2019-12-30,138
2019048824,Building Commercial - New,Restaurant (Fast Food),2019-08-14,2019-08-22,8
2018027331,Building Commercial - New,Restaurant (Full Service),2018-05-14,2019-10-14,518
2019045712,Building Commercial - New,Restaurant (Take Out),2019-07-31,2019-09-05,36
2019070471,Building Commercial - New,Restaurant (Take Out),2019-11-18,2020-02-12,86
2016072216,Building Commercial - New,Restaurant (Fast Food),2016-12-27,2017-05-26,150
2018019081,Building Commercial - New,Restaurant (Full Service),2018-04-06,2019-03-04,332
2017079353,Building Commercial - New,Restaurant (Fast Food),2017-12-13,2018-03-12,89
2019018089,Building Commercial - New,Restaurant (Take Out),2019-03-28,2019-05-23,56
201618717,Building Commercial - New,Restaurant (Full Service),2016-04-22,2017-05-30,403
2018058903,Building Commercial - New,Restaurant (Take Out),2018-09-17,2018-10-30,43
2017033613,Building Commercial - New,Restaurant (Take Out),2017-05-22,2017-06-05,14
2017035883,Building Commercial - New,Restaurant (Full Service),2017-06-01,2018-02-07,251
2017078352,Building Commercial - New,Restaurant (Fast Food),2017-12-08,2018-02-27,81
2017079344,Building Commercial - New,Restaurant (Fast Food),2017-12-13,2018-03-12,89
2016037031,Building Commercial - New,Restaurant (Fast Food),2016-07-21,2017-03-29,251
2018048366,Building Commercial - New,Restaurant (Fast Food),2018-08-14,2018-08-15,1
2018019597,Building Commercial - New,Restaurant (Fast Food),2018-04-09,2018-04-18,9
2017032956,Building Commercial - New,Restaurant (Fast Food),2017-05-18,2018-01-31,258
2018018468,Building Commercial - New,Restaurant (Take Out),2018-04-03,2018-04-17,14
2017070881,Building Commercial - New,Restaurant (Take Out),2017-11-02,2018-03-01,119
201622587,Building Commercial - New,Restaurant (Fast Food),2016-05-13,2017-10-04,509
2017044695,Building Commercial - New,Restaurant (Fast Food),2017-07-10,2018-02-08,213
2018040491,Building Commercial - New,Restaurant (Take Out),2018-07-12,2018-11-09,120
2017054861,Building Commercial - New,Restaurant (Full Service),2017-08-22,2017-10-03,42
2018040442,Building Commercial - New,Restaurant (Take Out),2018-07-12,2018-08-14,33
2019019197,Building Commercial - New,Restaurant (Take Out),2019-04-03,2019-05-30,57
