NAME,DATE,TMIN,TMAX,TMAX_YESTERDAY,TMAX_3MO,TMAX_6MO,TMAX_LY
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2013-01-01,33.0,42.0,43.0,71.0,105.0,61.0
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2013-01-02,27.0,35.0,42.0,66.0,99.0,38.0
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2013-01-03,25.0,45.0,35.0,76.0,99.0,35.0
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2013-01-04,21.0,47.0,45.0,81.0,103.0,54.0
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2013-01-05,22.0,47.0,47.0,82.0,104.0,57.0
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2013-01-06,29.0,51.0,47.0,62.0,105.0,67.0
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2013-01-07,23.0,49.0,51.0,61.0,104.0,62.0
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2013-01-08,27.0,60.0,49.0,62.0,100.0,51.0
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2013-01-09,49.0,54.0,60.0,66.0,92.0,55.0
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2013-01-10,52.0,65.0,54.0,66.0,81.0,52.0
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2013-01-11,60.0,71.0,65.0,69.0,85.0,61.0
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2013-01-12,65.0,70.0,71.0,62.0,74.0,47.0
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2013-01-13,36.0,68.0,70.0,79.0,87.0,36.0
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2013-01-14,28.0,36.0,68.0,76.0,86.0,51.0
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2013-01-15,30.0,35.0,36.0,72.0,94.0,47.0
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2013-01-16,33.0,36.0,35.0,75.0,96.0,59.0
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2013-01-17,33.0,47.0,36.0,78.0,95.0,63.0
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2013-01-18,26.0,51.0,47.0,70.0,95.0,37.0
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2013-01-19,28.0,57.0,51.0,66.0,96.0,51.0
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2013-01-20,33.0,55.0,57.0,65.0,91.0,63.0
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2013-01-21,24.0,40.0,55.0,78.0,89.0,66.0
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2013-01-22,18.0,31.0,40.0,82.0,89.0,61.0
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2013-01-23,23.0,53.0,31.0,80.0,93.0,61.0
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2013-01-24,28.0,43.0,53.0,81.0,94.0,57.0
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2013-01-25,30.0,38.0,43.0,81.0,96.0,48.0
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2013-01-26,29.0,49.0,38.0,63.0,95.0,61.0
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2013-01-27,28.0,51.0,49.0,53.0,95.0,50.0
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2013-01-28,48.0,60.0,51.0,59.0,93.0,49.0
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2013-01-29,54.0,70.0,60.0,56.0,89.0,55.0
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2013-01-30,36.0,73.0,70.0,56.0,92.0,63.0
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2013-01-31,31.0,47.0,73.0,60.0,95.0,66.0
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2013-02-01,17.0,31.0,47.0,63.0,97.0,65.0
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2013-02-02,23.0,44.0,31.0,70.0,99.0,63.0
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2013-02-03,28.0,48.0,44.0,82.0,89.0,63.0
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2013-02-04,27.0,59.0,48.0,58.0,94.0,58.0
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2013-02-05,41.0,64.0,59.0,54.0,84.0,56.0
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2013-02-06,35.0,59.0,64.0,52.0,90.0,50.0
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2013-02-07,41.0,64.0,59.0,53.0,93.0,55.0
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2013-02-08,35.0,52.0,64.0,57.0,95.0,47.0
"NASHVILLE INTERNATIONAL AIRPORT, TN US",2013-02-09,34.0,53.0,52.0,68.0,86.0,45.0
