NAME,DATE,TMIN,TMAX,TMAX_YESTERDAY,TMAX_3MO,TMAX_6MO,TMAX_LY
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-01-01,44.0,61.0,59.0,83.0,71.0,81.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-01-02,44.0,62.0,61.0,85.0,72.0,75.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-01-03,43.0,70.0,62.0,76.0,71.0,76.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-01-04,46.0,66.0,70.0,71.0,70.0,85.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-01-05,42.0,62.0,66.0,72.0,70.0,83.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-01-06,47.0,57.0,62.0,76.0,69.0,73.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-01-07,47.0,66.0,57.0,75.0,67.0,60.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-01-08,45.0,67.0,66.0,74.0,68.0,68.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-01-09,48.0,63.0,67.0,72.0,72.0,75.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-01-10,48.0,59.0,63.0,71.0,73.0,67.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-01-11,45.0,54.0,59.0,71.0,70.0,66.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-01-12,42.0,57.0,54.0,71.0,72.0,76.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-01-13,39.0,56.0,57.0,72.0,76.0,79.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-01-14,38.0,58.0,56.0,82.0,72.0,71.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-01-15,38.0,57.0,58.0,87.0,71.0,63.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-01-16,40.0,66.0,57.0,86.0,71.0,57.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-01-17,45.0,75.0,66.0,93.0,72.0,59.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-01-18,52.0,79.0,75.0,81.0,73.0,60.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-01-19,51.0,79.0,79.0,73.0,86.0,62.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-01-20,52.0,80.0,79.0,71.0,76.0,61.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-01-21,49.0,77.0,80.0,73.0,74.0,61.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-01-22,53.0,80.0,77.0,71.0,70.0,62.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-01-23,58.0,75.0,80.0,68.0,70.0,56.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-01-24,55.0,66.0,75.0,70.0,70.0,68.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-01-25,60.0,67.0,66.0,81.0,70.0,79.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-01-26,54.0,64.0,67.0,87.0,70.0,70.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-01-27,53.0,59.0,64.0,88.0,70.0,77.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-01-28,50.0,60.0,59.0,83.0,70.0,74.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-01-29,44.0,58.0,60.0,72.0,71.0,80.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-01-30,45.0,65.0,58.0,67.0,71.0,69.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-01-31,48.0,72.0,65.0,65.0,72.0,63.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-02-01,51.0,73.0,72.0,66.0,72.0,63.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-02-02,56.0,74.0,73.0,68.0,72.0,63.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-02-03,55.0,71.0,74.0,69.0,73.0,73.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-02-04,50.0,62.0,71.0,87.0,74.0,73.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-02-05,53.0,57.0,62.0,91.0,71.0,74.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-02-06,52.0,60.0,57.0,80.0,75.0,69.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-02-07,47.0,59.0,60.0,66.0,83.0,63.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-02-08,43.0,54.0,59.0,65.0,80.0,73.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-02-09,39.0,56.0,54.0,64.0,79.0,78.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-02-10,43.0,57.0,56.0,62.0,79.0,67.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-02-11,43.0,60.0,57.0,67.0,82.0,61.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-02-12,43.0,63.0,60.0,73.0,80.0,61.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-02-13,45.0,64.0,63.0,80.0,80.0,60.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-02-14,46.0,70.0,64.0,79.0,78.0,60.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-02-15,46.0,80.0,70.0,67.0,72.0,58.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-02-16,54.0,80.0,80.0,71.0,77.0,72.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-02-17,50.0,65.0,80.0,69.0,84.0,68.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-02-18,54.0,61.0,65.0,67.0,84.0,60.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-02-19,46.0,57.0,61.0,67.0,83.0,58.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-02-20,44.0,59.0,57.0,67.0,83.0,60.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-02-21,45.0,61.0,59.0,66.0,80.0,72.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-02-22,43.0,63.0,61.0,68.0,78.0,74.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-02-23,45.0,60.0,63.0,66.0,74.0,76.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-02-24,46.0,65.0,60.0,70.0,76.0,64.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-02-25,45.0,67.0,65.0,67.0,73.0,60.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-02-26,44.0,66.0,67.0,66.0,74.0,61.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-02-27,51.0,73.0,66.0,67.0,79.0,57.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-02-28,50.0,76.0,73.0,68.0,79.0,58.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-03-01,54.0,81.0,76.0,65.0,78.0,62.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-03-02,57.0,82.0,81.0,65.0,77.0,70.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-03-03,55.0,64.0,82.0,66.0,74.0,74.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-03-04,52.0,64.0,64.0,64.0,81.0,87.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-03-05,54.0,61.0,64.0,63.0,81.0,79.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-03-06,50.0,60.0,61.0,68.0,83.0,59.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-03-07,53.0,62.0,60.0,63.0,77.0,62.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-03-08,48.0,58.0,62.0,66.0,77.0,71.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-03-09,48.0,61.0,58.0,64.0,80.0,82.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-03-10,48.0,64.0,61.0,67.0,83.0,72.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-03-11,49.0,67.0,64.0,68.0,75.0,62.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-03-12,50.0,60.0,67.0,62.0,76.0,60.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-03-13,51.0,65.0,60.0,60.0,74.0,60.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-03-14,53.0,62.0,65.0,58.0,84.0,62.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-03-15,53.0,65.0,62.0,59.0,98.0,59.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-03-16,53.0,62.0,65.0,57.0,83.0,59.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-03-17,54.0,61.0,62.0,62.0,75.0,57.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-03-18,56.0,63.0,61.0,62.0,74.0,55.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-03-19,52.0,62.0,63.0,60.0,77.0,57.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-03-20,54.0,65.0,62.0,68.0,78.0,63.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-03-21,54.0,67.0,65.0,62.0,80.0,68.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-03-22,53.0,68.0,67.0,60.0,84.0,63.0
"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013-03-23,54.0,68.0,68.0,61.0,83.0,62.0
