council_district,total_appr,finished_area,year
2,129400.0,2243.0,2009
26,174700.0,1408.0,2009
4,299200.0,3037.0,2009
15,141600.0,1770.0,2009
33,80600.0,973.0,2009
11,271200.0,3112.0,2009
11,145600.0,1464.0,2009
33,192600.0,2460.0,2009
19,89500.0,837.0,2009
26,205200.0,2067.0,2009
13,111800.0,1584.0,2009
8,96900.0,861.0,2009
6,73000.0,787.0,2009
14,125500.0,1375.0,2009
15,160900.0,2117.0,2009
26,107500.0,936.0,2009
30,304300.0,2425.0,2009
25,376800.0,2376.0,2009
35,220700.0,2310.0,2009
4,275300.0,2175.0,2009
4,307600.0,2556.0,2009
28,101000.0,1512.0,2009
12,199500.0,2372.0,2009
4,138800.0,1540.0,2009
19,117300.0,1353.0,2009
22,179800.0,1645.0,2009
33,89500.0,1404.0,2009
10,419700.0,2500.0,2009
26,129400.0,1509.0,2009
25,457900.0,3019.0,2009
27,249500.0,2644.0,2009
1,218600.0,1848.0,2009
27,83400.0,1004.0,2009
2,32800.0,848.0,2009
13,126200.0,1144.0,2009
12,141600.0,1982.0,2009
30,113100.0,1425.0,2009
7,128600.0,1402.0,2009
25,661200.0,4019.75,2009
32,156900.0,2074.0,2009
19,131100.0,630.0,2009
33,189600.0,2648.0,2009
8,116500.0,1032.0,2009
34,625200.0,4174.0,2009
31,129100.0,1370.0,2009
28,120600.0,1385.0,2009
12,254100.0,2952.88501,2009
15,179900.0,3760.5,2009
7,134000.0,1337.0,2009
21,68400.0,1926.0,2009
26,161600.0,1500.0,2009
20,81700.0,899.0,2009
16,92600.0,864.0,2009
21,64200.0,1252.0,2009
18,286500.0,1233.0,2009
1,191900.0,3024.0,2009
23,251400.0,2061.5,2009
16,64200.0,880.0,2009
34,410900.0,2689.0,2009
11,202700.0,2089.0,2009
26,158700.0,1929.0,2009
30,84900.0,960.0,2009
32,145800.0,1871.0,2009
33,149500.0,1662.0,2009
3,109400.0,1537.0,2009
15,120300.0,1452.0,2009
18,388800.0,2596.5600600000002,2009
5,156100.0,2333.52002,2009
23,373100.0,2866.0,2009
22,110000.0,1087.0,2009
4,307400.0,2681.0,2009
5,83000.0,980.0,2009
24,222700.0,1328.0,2009
33,100700.0,1265.0,2009
18,134600.0,463.0,2009
19,247800.0,843.0,2009
33,122700.0,1792.0,2009
20,120800.0,1702.0,2009
9,109300.0,1132.0,2009
22,89000.0,1058.0,2009
16,100800.0,1378.0,2009
4,285600.0,3247.0,2009
6,256300.0,1689.5,2009
1,94100.0,1100.0,2009
17,342600.0,1365.0,2009
31,183000.0,1864.0,2009
6,151100.0,1422.0,2009
